tHat	logLikelihood	chrom	boundary
7	-39870.3252758901	2R	6e+05
19	-29281.0020173357	2R	1800000
39	-25614.3815704651	2R	3800000
57	-24861.6263522721	2R	5600000
62	-24152.2880575008	2R	6100000
65	-23459.9167143694	2R	6400000
80	-22883.8442545148	2R	7900000
91	-22507.53881415	2R	9e+06
101	-22164.1125519562	2R	1e+07
109	-21846.9040246301	2R	10800000
112	-21553.5904538135	2R	11100000
126	-21260.0760770687	2R	12500000
135	-21003.5364224248	2R	13400000
142	-20750.5042499562	2R	14100000
153	-20508.6845901304	2R	15200000
162	-20271.3725977369	2R	16100000
170	-20048.4674191649	2R	16900000
178	-19849.6121425549	2R	17700000
184	-19652.9559967093	2R	18300000
195	-19458.2888294699	2R	19400000
203	-19296.178057147	2R	20200000
210	-19138.2605206508	2R	20900000
227	-18989.0463252452	2R	22600000
236	-18858.9665451313	2R	23500000
250	-18731.0989389048	2R	24900000
253	-18606.0632281469	2R	25200000
