tHat	logLikelihood	chrom	boundary
12	-10789.5746866785	3R	1100000
14	-9388.14215776774	3R	1300000
63	-8798.25025003318	3R	6200000
67	-8514.77347742817	3R	6600000
74	-8448.45203596232	3R	7300000
79	-8389.53144997339	3R	7800000
84	-8335.07086187214	3R	8300000
94	-8298.82394279685	3R	9300000
99	-8268.63491459929	3R	9800000
111	-8255.27155363759	3R	1.1e+07
118	-8242.39083179713	3R	11700000
126	-8231.69778274114	3R	12500000
134	-8221.93851395073	3R	13300000
148	-8216.15586659801	3R	14700000
151	-8212.66451329404	3R	1.5e+07
