tHat	logLikelihood	chrom	boundary
6	-31386.7182207056	X	5e+05
13	-27799.3253095233	X	1200000
19	-25035.4989687822	X	1800000
27	-23187.6005981731	X	2600000
38	-22030.3950640454	X	3700000
47	-20895.894078792	X	4600000
56	-20129.2370915609	X	5500000
68	-19411.2369342996	X	6700000
77	-18803.8351522616	X	7600000
84	-18270.5933234309	X	8300000
92	-17804.1965578151	X	9100000
104	-17402.4442678756	X	10300000
113	-17011.2305968362	X	11200000
119	-16622.3223413365	X	11800000
126	-16275.7041257258	X	12500000
138	-15991.3925693674	X	13700000
149	-15714.1441187675	X	14800000
157	-15464.8936532782	X	15600000
167	-15227.6306696763	X	16600000
178	-15011.141587169	X	17700000
188	-14812.9865627445	X	18700000
197	-14626.7312043309	X	19600000
214	-14446.7908131668	X	21300000
236	-14269.1778208717	X	23500000
