tHat	logLikelihood	chrom	boundary
5	-33621.9611694129	2L	4e+05
11	-27836.3158348292	2L	1e+06
20	-25390.637100603	2L	1900000
28	-23428.5868056552	2L	2700000
35	-21942.7582554232	2L	3400000
44	-20708.1684306644	2L	4300000
50	-19894.5645092421	2L	4900000
60	-19187.0653788558	2L	5900000
70	-18599.0400517469	2L	6900000
80	-18045.9812618698	2L	7900000
86	-17551.6109010973	2L	8500000
97	-17195.5102379534	2L	9600000
104	-16862.2171064748	2L	10300000
112	-16536.3000018116	2L	11100000
120	-16214.0287343156	2L	11900000
132	-15905.034357966	2L	13100000
139	-15613.5086515556	2L	13800000
147	-15350.7275890154	2L	14600000
163	-15113.0692438005	2L	16200000
169	-14897.4334033872	2L	16800000
185	-14694.3310244917	2L	18400000
196	-14506.480428099	2L	19500000
222	-14322.9403898133	2L	22100000
236	-14141.4058487031	2L	23500000
