fragmentNumber	chrom	start	end
1	4	0	100000
2	4	100000	200000
3	4	200000	300000
4	4	300000	400000
5	4	400000	500000
6	4	500000	600000
7	4	600000	700000
8	4	700000	800000
9	4	800000	900000
10	4	900000	1000000
11	4	1000000	1100000
12	4	1100000	1200000
13	4	1200000	1300000
14	4	1300000	1348130
15	2L	0	100000
16	2L	100000	200000
17	2L	200000	300000
18	2L	300000	400000
19	2L	400000	500000
20	2L	500000	600000
21	2L	600000	700000
22	2L	700000	800000
23	2L	800000	900000
24	2L	900000	1000000
25	2L	1000000	1100000
26	2L	1100000	1200000
27	2L	1200000	1300000
28	2L	1300000	1400000
29	2L	1400000	1500000
30	2L	1500000	1600000
31	2L	1600000	1700000
32	2L	1700000	1800000
33	2L	1800000	1900000
34	2L	1900000	2000000
35	2L	2000000	2100000
36	2L	2100000	2200000
37	2L	2200000	2300000
38	2L	2300000	2400000
39	2L	2400000	2500000
40	2L	2500000	2600000
41	2L	2600000	2700000
42	2L	2700000	2800000
43	2L	2800000	2900000
44	2L	2900000	3000000
45	2L	3000000	3100000
46	2L	3100000	3200000
47	2L	3200000	3300000
48	2L	3300000	3400000
49	2L	3400000	3500000
50	2L	3500000	3600000
51	2L	3600000	3700000
52	2L	3700000	3800000
53	2L	3800000	3900000
54	2L	3900000	4000000
55	2L	4000000	4100000
56	2L	4100000	4200000
57	2L	4200000	4300000
58	2L	4300000	4400000
59	2L	4400000	4500000
60	2L	4500000	4600000
61	2L	4600000	4700000
62	2L	4700000	4800000
63	2L	4800000	4900000
64	2L	4900000	5000000
65	2L	5000000	5100000
66	2L	5100000	5200000
67	2L	5200000	5300000
68	2L	5300000	5400000
69	2L	5400000	5500000
70	2L	5500000	5600000
71	2L	5600000	5700000
72	2L	5700000	5800000
73	2L	5800000	5900000
74	2L	5900000	6000000
75	2L	6000000	6100000
76	2L	6100000	6200000
77	2L	6200000	6300000
78	2L	6300000	6400000
79	2L	6400000	6500000
80	2L	6500000	6600000
81	2L	6600000	6700000
82	2L	6700000	6800000
83	2L	6800000	6900000
84	2L	6900000	7000000
85	2L	7000000	7100000
86	2L	7100000	7200000
87	2L	7200000	7300000
88	2L	7300000	7400000
89	2L	7400000	7500000
